,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
494,C[C@H](NC(=O)[C@@H](CCCN=C(N)N)NC(=O)OC(C)(C)C)C(=O)N[C@H](C=O)CCCN=C(N)N,CHEMBL2372426,nM,5000.0,uM,5.0
495,N=C(N)NCCC[C@@H](C=O)NC(=O)CNC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCc1ccccc1,CHEMBL2372441,nM,75000.0,uM,75.0
496,CN(CC(=O)N[C@@H](CC1CCCCC1)C(=O)C(=O)NCc1ccc2c(c1)OCO2)C(=O)[C@@H](CCN=C(N)N)NS(=O)(=O)Cc1ccccc1,CHEMBL74023,nM,1720.0,nM,1720.0
497,CN(CC(=O)N[C@@H](CC1CCCCC1)C(=O)C(=O)NCCc1ccccc1)C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)Cc1ccccc1,CHEMBL74955,nM,2210.0,nM,2210.0
498,CN(CC(=O)N[C@@H](CC1CCCCC1)C(=O)C(=O)NCc1ccccc1)C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)Cc1ccccc1,CHEMBL75017,nM,1960.0,nM,1960.0
499,CCCCCNC(=O)C(=O)[C@H](CC1CCCCC1)NC(=O)CN(C)C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)Cc1ccccc1,CHEMBL305646,nM,3830.0,nM,3830.0
500,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372668,nM,308000.0,uM,308.0
501,CC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372704,nM,458000.0,uM,458.0
502,CC1CCN(C(=O)[C@H](CCCNc2ccccn2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL262244,nM,5500.0,uM,5.5
503,N=C(N)NCCCNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](CC1CCCCC1)NCC(=O)O,CHEMBL114715,nM,17.0,nM,17.0
504,CS(=O)(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL433323,nM,24.0,nM,24.0
505,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372749,nM,2989000.0,uM,2989.0
506,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCSC)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372706,nM,2630000.0,uM,2630.0
507,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372700,nM,273000.0,uM,273.0
508,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)O,CHEMBL2372665,nM,21000.0,uM,21.0
509,CC1CCN(C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL66348,nM,2500.0,uM,2.5
510,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372731,nM,54000.0,uM,54.0
511,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)O,CHEMBL2372736,nM,9000.0,uM,9.0
512,CC[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372752,nM,507000.0,uM,507.0
513,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL2372662,nM,200000.0,uM,200.0
514,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C)C(=O)O,CHEMBL2372696,nM,54000.0,uM,54.0
515,CCN1C[C@H](OCc2ccccc2)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL70601,nM,8600.0,nM,8600.0
516,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)CCCNC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372683,nM,3013000.0,uM,3013.0
517,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCC(=O)O,CHEMBL2372751,nM,29000.0,uM,29.0
518,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,CHEMBL2372685,nM,38000.0,uM,38.0
519,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCCCC(=O)O,CHEMBL2372697,nM,13000.0,uM,13.0
520,CC(C)(C)OC(=O)N[C@@H](CC(=O)O)C(=O)N1CCCC1C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(=O)NCCc1ccccc1,CHEMBL106202,nM,2.3,uM,0.0023
521,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372694,nM,748000.0,uM,748.0
522,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)O)[C@@H](C)CC)C(=O)O,CHEMBL2372671,nM,546000.0,uM,546.0
523,CC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372723,nM,25000.0,uM,25.0
524,COc1ccc2ccc(S(=O)(=O)N[C@@H](CCCNc3cccnn3)C(=O)N3CCC(C)CC3)cc2c1,CHEMBL69990,nM,2300.0,uM,2.3
525,N=C(N)NCCC[C@@H](CCl)NC(=O)[C@@H]1CCN2CC[C@@](N)(Cc3ccccc3)CN12,CHEMBL284436,nM,1.2,nM,1.2
526,CC[C@H](NC(=O)CCNC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372750,nM,406000.0,uM,406.0
527,CC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372745,nM,341000.0,uM,341.0
528,CC(=O)NN(CCCc1ccccc1)C(=O)[C@@H]1CCCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,CHEMBL111363,nM,12800.0,uM,12.8
529,N=C(N)NCCC[C@H](NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)CCc1ccccc1)C(=O)CCl,CHEMBL69996,nM,31.7,nM,31.7
530,CCC(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL72466,nM,13.0,nM,13.0
531,CCC(NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372654,nM,160000.0,uM,160.0
532,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)[C@@H](C)O)C(=O)O,CHEMBL2372734,nM,394000.0,uM,394.0
533,CC[C@H](NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372753,nM,593000.0,uM,593.0
534,CC[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372758,nM,14000.0,uM,14.0
535,CC(=O)N1C[C@H](OCC2CCCCC2)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL72224,nM,4.9,nM,4.9
536,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)O)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372754,nM,2462000.0,uM,2462.0
537,CC[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372730,nM,428000.0,uM,428.0
538,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372737,nM,42000.0,uM,42.0
539,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CHEMBL2372725,nM,43000.0,uM,43.0
540,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372668,nM,126000.0,uM,126.0
541,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372722,nM,72000.0,uM,72.0
542,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372660,nM,2430000.0,uM,2430.0
543,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)O,CHEMBL2372664,nM,69000.0,uM,69.0
544,NC(N)=NCCC[C@H](NC(=O)[C@@H]1C[C@H](OCc2ccccc2)CN1C(=O)[C@H](N)Cc1ccccc1)C(=O)CCl,CHEMBL71832,nM,7.2,nM,7.2
545,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372677,nM,711000.0,uM,711.0
546,CC[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372690,nM,446000.0,uM,446.0
547,CC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372672,nM,137000.0,uM,137.0
548,CC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372701,nM,582000.0,uM,582.0
549,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O,CHEMBL2372687,nM,20000.0,uM,20.0
550,CC(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL70668,nM,0.9,nM,0.9
551,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(C)C)[C@@H](C)CC)C(=O)O,CHEMBL2372693,nM,318000.0,uM,318.0
552,CC[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372738,nM,106000.0,uM,106.0
553,CC(=O)NN(Cc1ccccc1)C(=O)[C@@H]1CCCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(=O)NCCc1ccccc1,CHEMBL264389,nM,3200.0,uM,3.2
554,NC(N)=NCCC[C@H](NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@H](N)Cc1ccccc1)C(=O)CCl,CHEMBL70473,nM,3.0,nM,3.0
555,CC(=O)N1C[C@H](OCCC(c2ccccc2)c2ccccc2)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL302033,nM,10.0,nM,10.0
556,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372716,nM,169000.0,uM,169.0
557,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,CHEMBL2372733,nM,5800.0,uM,5.8
558,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)O,CHEMBL2372710,nM,15000.0,uM,15.0
559,CC(C)(C)OC(=O)NN(Cc1ccccc1)C(=O)[C@@H]1CCCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(=O)NCCc1ccccc1,CHEMBL432019,nM,880.0,uM,0.88
560,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)CCl,CHEMBL307440,nM,1.5,nM,1.5
561,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372719,nM,1749000.0,uM,1749.0
562,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372715,nM,672000.0,uM,672.0
563,CCOC(=O)CN(NC(C)=O)C(=O)[C@@H]1CCCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,CHEMBL109044,nM,22100.0,uM,22.1
564,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372655,nM,195000.0,uM,195.0
565,CC[C@H](NC(=O)CCCNC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372741,nM,262000.0,uM,262.0
566,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,CHEMBL2372732,nM,1900.0,uM,1.9
567,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL307965,nM,1350.0,nM,1350.0
568,CCCCO[C@@H]1C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl)N(C(C)=O)C1,CHEMBL70551,nM,21.6,nM,21.6
569,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372718,nM,2545000.0,uM,2545.0
570,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372679,nM,507000.0,uM,507.0
571,NC(N)=NCCC[C@@H](CCl)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1,CHEMBL265315,nM,1.5,nM,1.5
572,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1cc(O)ccc1O)[C@@H](C)O)[C@@H](C)CC)C(=O)O,CHEMBL2372728,nM,3153000.0,uM,3153.0
573,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372661,nM,1713000.0,uM,1713.0
574,CC[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372747,nM,183000.0,uM,183.0
575,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)O,CHEMBL2372663,nM,6400.0,uM,6.4
576,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,CHEMBL2372656,nM,27000.0,uM,27.0
577,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCC(=O)O,CHEMBL2372666,nM,11000.0,uM,11.0
578,CCCC(CCC)C(=O)NN(CC(=O)OCC)C(=O)[C@@H]1CCCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(=O)NCCc1ccccc1,CHEMBL109050,nM,13200.0,uM,13.2
579,CC(=O)N1C[C@H](CCc2ccccc2)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL308427,nM,40.0,nM,40.0
580,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372717,nM,3383000.0,uM,3383.0
581,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372729,nM,2328000.0,uM,2328.0
582,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CSCN1C(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372691,nM,378000.0,uM,378.0
583,CC[C@H](NC(=O)[C@H](CC)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372742,nM,294000.0,uM,294.0
584,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)O,CHEMBL2372735,nM,2500.0,uM,2.5
585,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)O)C(C)C,CHEMBL2372684,nM,31000.0,uM,31.0
586,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372756,nM,3386000.0,uM,3386.0
587,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)CCCCCNC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372682,nM,2164000.0,uM,2164.0
588,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)[C@@H](C)CC)C(=O)O,CHEMBL2372678,nM,25000.0,uM,25.0
589,CC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372703,nM,68000.0,uM,68.0
590,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](CC(C)C)C(=O)O,CHEMBL2372759,nM,51000.0,uM,51.0
591,CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H]1CCCN(C(=N)N)C1O.Cl,CHEMBL538226,nM,284.0,uM,0.284
592,CC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372705,nM,82000.0,uM,82.0
593,CC[C@H](NC(=O)[C@H](CCSC)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372702,nM,46000.0,uM,46.0
594,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCSC)C(=O)O,CHEMBL2372657,nM,7000.0,uM,7.0
595,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372722,nM,53000.0,uM,53.0
596,CC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372674,nM,21000.0,uM,21.0
597,CC1CCN(C(=O)[C@H](CCCNc2cccnn2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL66887,nM,24000.0,uM,24.0
598,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372755,nM,3326000.0,uM,3326.0
599,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)[C@@H](C)CC)C(=O)O,CHEMBL2372708,nM,2710000.0,uM,2710.0
600,CCC(NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372654,nM,1141000.0,uM,1141.0
601,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](C)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372681,nM,2956000.0,uM,2956.0
602,CC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372744,nM,680000.0,uM,680.0
603,CC[C@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372689,nM,109000.0,uM,109.0
604,CC(=O)N1C[C@H](OCCCc2ccccc2)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL70472,nM,14.0,nM,14.0
605,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372714,nM,422000.0,uM,422.0
606,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)[C@@H](C)CC)C(=O)O,CHEMBL2372678,nM,257000.0,uM,257.0
607,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(C)C)C(=O)O,CHEMBL2372743,nM,194000.0,uM,194.0
608,COc1ccc2ccc(S(=O)(=O)N[C@@H](CCCNc3ccccn3)C(=O)N3CCC(C)CC3)cc2c1,CHEMBL302112,nM,470.0,uM,0.47
609,CC(=O)N1C[C@@H](OCc2ccccc2)C[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCl,CHEMBL70484,nM,4600.0,nM,4600.0
610,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372707,nM,1887000.0,uM,1887.0
611,CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372675,nM,300000.0,uM,300.0
612,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CC(O)CN1C(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372692,nM,298000.0,uM,298.0
613,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372722,nM,1606000.0,uM,1606.0
614,CC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372674,nM,15000.0,uM,15.0
615,CC[C@H](NC(=O)CCCCCNC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372740,nM,168000.0,uM,168.0
616,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O,CHEMBL2372748,nM,2803000.0,uM,2803.0
