,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
34,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)C1CCCCC1,CHEMBL419202,nM,19.0,nM,19.0
35,N=C(N)c1ccc(CNC(=O)C2CCC=C2C(=O)NCc2ccccc2)cc1,CHEMBL17646,nM,11200.0,uM,11.2
36,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1Cl)C(c1ccccc1)c1ccccc1,CHEMBL3142739,nM,260.0,nM,260.0
37,CN(C)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc1,CHEMBL3142553,nM,4000.0,nM,4000.0
38,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1)C(c1ccccc1)c1ccccc1,CHEMBL3142750,nM,12.0,nM,12.0
39,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Br)c1)C(c1ccccc1)c1ccccc1,CHEMBL3142700,nM,10.0,nM,10.0
40,CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)c1ccccc1,CHEMBL298122,nM,980.0,uM,0.98
41,NC(C(=O)N1CCC[C@H]1C(=O)NCc1ccc(S(N)(=O)=O)cc1)C(c1ccccc1)c1ccccc1,CHEMBL3142751,nM,13000.0,nM,13000.0
42,COc1cccc(OC)c1CNC(=O)[C@@H]1CCCN1C(=O)C(N)C(c1ccccc1)c1ccccc1,CHEMBL3142675,nM,10000.0,nM,10000.0
43,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnnc3ccccc23)NS(=O)(=O)Cc2ccccc2)C1O,CHEMBL325869,nM,1770.0,nM,1770.0
44,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,CHEMBL266349,nM,4700.0,uM,4.7
45,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C(=O)O)C1CCCCC1,CHEMBL327093,nM,55.0,nM,55.0
46,N=C(N)c1ccc(CNC(=O)[C@@H]2CCC=C2C(=O)N2CCCCC2)cc1,CHEMBL44883,nM,6030.0,uM,6.03
47,N=C(N)NCCCNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](CC1CCCCC1)NCC(=O)O,CHEMBL114715,nM,22400.0,uM,22.4
48,COc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,CHEMBL3142628,nM,36.0,nM,36.0
49,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)OCCCc4ccccc4)[C@H]2C3)c1,CHEMBL47102,nM,130.0,uM,0.13
50,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)C[C@H]2[C@H]3[C@@H](CCCCC(=N)N)C(=O)N2C(=O)OC)c1,CHEMBL46845,nM,16.0,uM,0.016
51,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)N(C)C)[C@H]2C3)c1,CHEMBL47143,nM,11000.0,uM,11.0
52,O=C1O[C@H]2CCC[C@@H]2[C@@H]1Cc1ccccc1,CHEMBL101030,nM,73.0,nM,73.0
53,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)C[C@H]2[C@H]3[C@@H](CCCCC(=N)N)C(=O)N2CCCCCc2ccccc2)c1,CHEMBL44891,nM,5000.0,uM,5.0
54,O=C1O[C@H]2CCC[C@@H]2[C@H]1Cc1ccccc1,CHEMBL102081,nM,92.0,nM,92.0
55,N=C(N)c1cccc(C2Oc3ccccc3N(CCCCCN3CCCCC3)C2=O)c1,CHEMBL341187,nM,3400.0,uM,3.4
56,CC(C)=CC(=O)C[C@H]1C(=O)O[C@H]2C[C@]3(C)C4=CC[C@@H]5[C@](C)(CC[C@H]6OC(=O)[C@@]56C)[C@H]4CC[C@@]3(C)[C@@H]21,CHEMBL457155,nM,4.0,nM,4.0
57,CC1CCCC(C)N1CCCCCN1C(=O)C(c2ccc(C(=N)N)cc2)Oc2ccccc21,CHEMBL130420,nM,1700.0,uM,1.7
58,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(CCCCCc4ccccc4)[C@H]2C3)c1,CHEMBL296972,nM,5000.0,uM,5.0
59,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)OC)[C@H]2C3)c1,CHEMBL295886,nM,50.0,uM,0.05
60,CCNC(=O)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3cc(-c4cccc(C(=O)N(CC)CC)c4)ccc3C[C@@H]21,CHEMBL45032,nM,3000.0,uM,3.0
61,CCNC(=O)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3ccc(-c4cccc(C(=O)N(CC)CC)c4)cc3C[C@@H]21,CHEMBL296764,nM,5600.0,uM,5.6
62,N=C(N)CCCC[C@H]1C(=O)N(CCCCCc2ccccc2)[C@H]2Cc3ccccc3[C@H]12,CHEMBL46923,nM,13000.0,uM,13.0
63,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(S(=O)(=O)c4ccccc4)[C@H]2C3)c1,CHEMBL297169,nM,16.0,uM,0.016
64,CC1CCCC(C)N1CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,CHEMBL133326,nM,890.0,uM,0.89
65,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(COC(C)=O)[C@H]2C3)c1,CHEMBL46993,nM,12000.0,uM,12.0
66,CC1CCCC(C)N1CCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,CHEMBL130313,nM,1100.0,uM,1.1
67,CCCCCCN(CCCCCC)CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,CHEMBL133328,nM,1900.0,uM,1.9
68,CC(=O)O.N=C(N)CCCC[C@H]1C(=O)O[C@H]2CCC[C@@H]21,CHEMBL323543,nM,130.0,uM,0.13
69,COC(=O)c1ccccc1CS(=O)(=O)N[C@H](CC1CCCN(C(=N)N)C1)C(=O)NCC(=O)N[C@H]1CCCN(C(=N)N)C1O.O=C(O)C(F)(F)F,CHEMBL352119,nM,1100.0,nM,1100.0
70,COC(=O)CN1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3ccccc3C[C@@H]21,CHEMBL295211,nM,43000.0,uM,43.0
